loc;unit size
|java+compilationUnit:///src/smallsql/database/CommandTable.java|(2490,2433,<78,4>,<130,5>);47
|java+compilationUnit:///src/smallsql/junit/BenchTest.java|(18742,2820,<453,4>,<504,5>);46
|java+compilationUnit:///src/smallsql/database/ExpressionFunctionReturnP1.java|(1651,1775,<48,4>,<93,5>);46
|java+compilationUnit:///src/smallsql/junit/BenchTest.java|(7700,2106,<194,4>,<243,5>);43
|java+compilationUnit:///src/smallsql/database/Utils.java|(8778,2364,<269,4>,<315,5>);42
|java+compilationUnit:///src/smallsql/junit/BenchTest.java|(16533,2185,<404,4>,<449,5>);42
|java+compilationUnit:///src/smallsql/database/SSResultSetMetaData.java|(8055,1532,<257,4>,<297,5>);41
|java+compilationUnit:///src/smallsql/database/Join.java|(5879,1876,<204,4>,<246,5>);41
|java+compilationUnit:///src/smallsql/tools/CommandLine.java|(273,1951,<21,4>,<63,5>);41
|java+compilationUnit:///src/smallsql/junit/TestOther.java|(3571,1524,<90,1>,<138,2>);40
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(15545,1496,<469,4>,<511,5>);40
|java+compilationUnit:///src/smallsql/database/Database.java|(14095,1775,<401,1>,<441,2>);39
|java+compilationUnit:///src/smallsql/database/SSResultSetMetaData.java|(3560,1152,<120,1>,<158,2>);39
|java+compilationUnit:///src/smallsql/junit/TestOrderBy.java|(17187,1243,<649,1>,<694,2>);39
|java+compilationUnit:///src/smallsql/junit/BenchTest.java|(24166,1718,<563,4>,<606,5>);39
|java+compilationUnit:///src/smallsql/database/CommandSelect.java|(6393,2265,<193,4>,<238,5>);38
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(1883,1344,<56,4>,<93,5>);37
|java+compilationUnit:///src/smallsql/database/TableView.java|(2638,1483,<75,1>,<114,2>);37
|java+compilationUnit:///src/smallsql/database/SSDatabaseMetaData.java|(20493,11819,<830,4>,<867,5>);37
|java+compilationUnit:///src/smallsql/database/ExpressionFunctionSign.java|(1544,922,<48,1>,<84,2>);37
|java+compilationUnit:///src/smallsql/database/GroupResult.java|(5413,1779,<152,1>,<198,2>);37
|java+compilationUnit:///src/smallsql/junit/TestThreads.java|(3734,1973,<124,4>,<175,5>);37
|java+compilationUnit:///src/smallsql/junit/TestResultSet.java|(2097,1852,<66,4>,<108,5>);36
|java+compilationUnit:///src/smallsql/database/CommandSelect.java|(13948,1555,<444,1>,<484,2>);36
|java+compilationUnit:///src/smallsql/database/ExpressionValue.java|(8520,1267,<264,4>,<305,2>);36
|java+compilationUnit:///src/smallsql/junit/TestThreads.java|(1850,1874,<72,4>,<121,5>);35
|java+compilationUnit:///src/smallsql/junit/TestResultSet.java|(3963,1903,<111,4>,<151,5>);35
|java+compilationUnit:///src/smallsql/database/ExpressionFunctionTimestampDiff.java|(2718,1679,<90,1>,<125,2>);35
|java+compilationUnit:///src/smallsql/database/LongTreeList.java|(10103,1277,<356,1>,<397,2>);35
|java+compilationUnit:///src/smallsql/database/CommandSelect.java|(12464,1478,<403,1>,<442,2>);35
|java+compilationUnit:///src/smallsql/junit/TestOperatoren.java|(5458,1343,<106,4>,<146,5>);34
|java+compilationUnit:///src/smallsql/junit/TestTransactions.java|(10101,2533,<290,1>,<336,5>);34
|java+compilationUnit:///src/smallsql/junit/TestLanguage.java|(3800,1077,<134,1>,<172,2>);34
|java+compilationUnit:///src/smallsql/database/SQLTokenizer.java|(10830,1224,<252,4>,<286,5>);34
|java+compilationUnit:///src/smallsql/database/Database.java|(15879,1399,<444,1>,<477,2>);33
|java+compilationUnit:///src/smallsql/junit/TestJoins.java|(7129,3045,<158,4>,<193,5>);33
|java+compilationUnit:///src/smallsql/junit/TestThreads.java|(279,1561,<19,4>,<69,5>);33
|java+compilationUnit:///src/smallsql/database/Database.java|(12404,1682,<360,4>,<398,5>);33
|java+compilationUnit:///src/smallsql/database/ExpressionFunctionTimestampAdd.java|(2034,1336,<71,1>,<104,2>);33
